species_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Chryseobacterium sp. ERMR1:04	0	1	7	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1
Chryseobacterium sp. IHB B 17019	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cinvestavvirus PaMx74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter braakii	42	42	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	86
Citrobacter freundii	601	587	1489	1406	375	342	0	0	0	0	0	0	0	0	0	0	0	0	1222
Citrobacter portucalensis	2	1	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Citrobacter sp. C1	296	281	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592
Citrobacter sp. RHBSTW-00325	12	14	1	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	30
Citrobacter sp. RHBSTW-00524	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. RHBSTW-00821	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter sp. TSA-1	6	7	1	1	99	94	0	0	0	0	0	0	0	0	0	0	0	0	13
Clostridioides difficile	5	6	2	2	18	15	0	0	0	0	0	0	0	0	0	0	0	0	10
Clostridium perfringens	53	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
Comamonas antarctica	9	6	30	24	1	2	0	0	0	0	0	0	0	0	0	0	0	0	14
Comamonas aquatica	0	0	1	1	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas endophytica	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Comamonas fluminis	2	2	2	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	4
Comamonas odontotermitis	9	10	171	156	282	260	2	1	0	0	0	0	0	0	0	0	0	0	19
Comamonas resistens	2	2	11	9	6	6	0	0	0	0	0	0	0	0	0	0	0	0	4
Comamonas sp. 7D-2	88	78	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
Comamonas sp. C11	32	28	57	61	11	12	0	0	0	0	0	0	0	0	0	0	0	0	63
Comamonas testosteroni	13	10	36	34	22	25	0	0	0	0	0	0	0	0	0	0	0	0	23
Comamonas thiooxydans	2	3	23	22	7	7	0	0	0	0	0	0	0	0	0	0	0	0	5
Corynebacterium diphtheriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter phage CR5	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
Cronobacter sakazakii	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronusvirus cronus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus campinensis	1	1	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Cupriavidus metallidurans	7	5	15	16	19	22	0	0	0	0	0	0	0	0	0	0	0	0	15
Cupriavidus necator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus oxalaticus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus pauculus	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Cupriavidus sp. Agwp_2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. DF5525	5	3	324	300	40	41	0	0	0	0	0	0	0	0	0	0	0	0	9
Cupriavidus sp. EM10	20	20	4	3	8	8	0	0	0	0	0	0	0	0	0	0	0	0	40
Cupriavidus sp. H39	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. USMAA2-4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus sp. a3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupriavidus taiwanensis	4	5	1	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	9
Curvibacter sp. AEP1-3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dechloromonas sp. ARDL1	125	115	435	402	553	514	0	0	0	0	0	0	0	0	0	0	0	0	250
Deinococcus peraridilitoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia acidovorans	29	25	18	18	53	52	0	0	0	0	0	0	0	0	0	0	0	0	55
Delftia lacustris	38	35	4	3	9	9	0	0	0	0	0	0	0	0	0	0	0	0	77
Delftia sp. KV29	1	1	568	535	45	42	0	0	0	0	0	0	0	0	0	0	0	0	3
Denitratisoma oestradiolicum	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphorobacter sp. HDW4A	13	16	35	35	55	58	0	0	0	0	0	0	0	0	0	0	0	0	29
Diaphorobacter sp. HDW4B	4	4	294	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Diaphorobacter sp. JS3051	4	3	17	16	5	5	0	0	0	0	0	0	0	0	0	0	0	0	7
Diaphorobacter sp. MNS-0	7	6	28	22	9	10	0	0	0	0	0	0	0	0	0	0	0	0	12
Dunedinvirus JS26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
